Customer|Customer Name|Customer Currency Code|Currency|Transaction Type|Apply to Invoice|Invoice|Amount|Original Amount|Due/Payment Date|Exchange Rate|Invoice Date|Credit Hold|City|Contact|Credit Limit|Terms|Terms Code Description|Prov/State|Phone|Type|Salesperson|Name|Phone[1]
AR-S172|SBJ BINAJAYA DEVELOPMENT SDN BHD|MYR|MYR|I|1005334|1005334|120761.45000000|120761.45000000|31-03-21|1|02-01-21||||600000.00000000|60|60 Days||||Mei||09-748 1500
AR-E009|ECONPILE (M) S/B|MYR|MYR|I|1004828|1004828|120840.00000000|120840.00000000|31-01-21|1|28-11-20||||8000000.00000000|60|60 Days||||Mei||03-9171 9999
AR-B028|BUMIMETRO CONSTRUCTION S/B|MYR|MYR|I|  54769|  54769|12125.00000000|12125.00000000|30-12-14|1|24-10-14|*CREDIT HOLD*|||4000000.00000000|45|45 Days||||||03-6142 7200*
AR-G004|GEOPANCAR S/B|MYR|MYR|I|1004138|1004138|121437.44000000|121437.44000000|30-12-20|1|24-10-20||||10000000.00000000|60|60 Days||||Mei||03-2287 3393
AR-M093|MCC OVERSEAS (M) SDN BHD|MYR|MYR|I|1000020|1000020|121540.32000000|121540.32000000|30-03-20|1|02-01-20|*CREDIT HOLD*|||800000.00000000|60|60 Days||||Mei||03-4065 0111
AR-E009|ECONPILE (M) S/B|MYR|MYR|I|1005251|1005251|1218.00000000|1218.00000000|28-02-21|1|24-12-20||||8000000.00000000|60|60 Days||||Mei||03-9171 9999
AR-C119|CHINA RAILWAY 17TH BUREAU GROUP (M) SDN BHD|MYR|MYR|D|0|DN20150|1219.02000000|1219.02000000|30-11-20|1|30-11-20|*CREDIT HOLD*|||0.00000000|30|30 Days||||||03-2022 3517
AR-C119|CHINA RAILWAY 17TH BUREAU GROUP (M) SDN BHD|MYR|MYR|D|0|DN20167|1219.02000000|1219.02000000|31-12-20|1|31-12-20|*CREDIT HOLD*|||0.00000000|30|30 Days||||||03-2022 3517
AR-C118|CHARTER BUILT ENGINEERING SDN BHD|MYR|MYR|I|1005187|1005187|121956.40000000|121956.40000000|28-02-21|1|20-12-20||||0.00000000|60|60 Days||||BILL||03-5122 6977
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004019|1004019|12208.15000000|12208.15000000|30-12-20|1|19-10-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-E009|ECONPILE (M) S/B|MYR|MYR|I|1005539|1005539|12210.00000000|12210.00000000|31-03-21|1|15-01-21||||8000000.00000000|60|60 Days||||Mei||03-9171 9999
AR-O014|ORIENT AROTEK ENGINEERING & TRADING SDN BHD|MYR|MYR|I|1003931|1003931|122185.92000000|122185.92000000|30-11-20|1|14-10-20||||1500000.00000000|30|30 Days||||Mei||03-3319 8813
AR-C018|CASTMET SDN BHD|MYR|MYR|I|  78143|  78143|12241.52000000|12241.52000000|30-06-17|1|12-05-17|*CREDIT HOLD*|||5000000.00000000|30|30 Days||||||03-7733 3163
AR-A111|AIKBEE BUILDERS SDN BHD|MYR|MYR|I|1005422|1005422|12263.90000000|12263.90000000|30-04-21|1|08-01-21||||2000000.00000000|90|90 Days||||Kok Wai||03-7981 3333
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  86697|  86697|12264.20000000|12264.20000000|30-07-18|1|31-05-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-G025|G-PILE SISTEM SDN BHD|MYR|MYR|I|1004574|1004574|1228.50000000|1228.50000000|31-01-21|1|17-11-20||||500000.00000000|60|60 Days||||Eeyan||03-7710 6477
AR-L018|LEBROTHERS CONSTRUCTION S/B|MYR|MYR|I|1003536|1003536|122815.02000000|122815.02000000|30-11-20|1|25-09-20||||8000000.00000000|60|60 Days||||Eeyan||03-8926 6098
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005030|1005030|122996.60000000|122996.60000000|28-02-21|1|12-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004736|1004736|123237.36000000|123237.36000000|24-11-20|1|24-11-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-M132|MGB SANY (M) IBS SDN BHD|MYR|MYR|I|1005062|1005062|123259.26000000|123259.26000000|31-03-21|1|15-12-20||||2000000.00000000|60|60 Days||||BILL||06-797 1855
AR-U024|UMLAND MARKETING SDN BHD|MYR|MYR|I|1004718|1004718|123271.22000000|123271.22000000|31-01-21|1|23-11-20||||1000000.00000000|60|60 Days||||Kok Wai||03-2036 8188
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1003285|1003285|12335.00000000|12335.00000000|30-11-20|1|12-09-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P120|PANADUNIA SDN BHD|MYR|MYR|I|1003197|1003197|1234.00000000|1234.00000000|30-11-20|1|09-09-20||||2000000.00000000|60|60 Days||||Ken||03-8961 3111
AR-P120|PANADUNIA SDN BHD|MYR|MYR|I|1002806|1002806|12348.00000000|12348.00000000|30-10-20|1|17-08-20||||2000000.00000000|60|60 Days||||Ken||03-8961 3111
AR-S006|SOIL MECHANIC SDN BHD|MYR|MYR|I|1005431|1005431|1235.00000000|1235.00000000|31-03-21|1|09-01-21||||1000000.00000000|60|60 Days||||Ken||04-390 9279*
AR-M093|MCC OVERSEAS (M) SDN BHD|MYR|MYR|D|0|DN20071|12353.70000000|12353.70000000|31-07-20|1|31-07-20|*CREDIT HOLD*|||800000.00000000|60|60 Days||||Mei||03-4065 0111
AR-J025|JDC (M) CORPORATION SDN BHD|MYR|MYR|I|  78242|  78242|12361.37000000|12361.37000000|30-07-17|1|17-05-17|*CREDIT HOLD*|||500000.00000000|60|60 Days||||||03-8024 0405
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1003973|1003973|12371.09000000|12371.09000000|30-11-20|1|16-10-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1004110|1004110|12371.09000000|12371.09000000|30-11-20|1|23-10-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1004249|1004249|12371.09000000|12371.09000000|30-11-20|1|30-10-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1004389|1004389|12371.09000000|12371.09000000|31-12-20|1|06-11-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1004613|1004613|12371.09000000|12371.09000000|31-12-20|1|18-11-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005191|1005191|123713.10000000|123713.10000000|28-02-21|1|21-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-G079|GEOTECHNICAL ALLIANCE SDN BHD|MYR|MYR|I|1004254|1004254|12375.00000000|12375.00000000|30-12-20|1|30-10-20||||1000000.00000000|60|60 Days||||Mei||
AR-B036|BRUNSFIELD TRADING SDN BERHAD|MYR|MYR|I|1004094|1004094|123760.64000000|123760.64000000|29-01-21|1|22-10-20||||5000000.00000000|90|90 Days||||Mei||03-7726 9898
AR-E016|EUROMATEC SDN BHD|MYR|MYR|I|1004997|1004997|12401.90000000|12401.90000000|28-02-21|1|08-12-20||||600000.00000000|60|60 Days||||Eeyan||03-8322 7299
AR-V008|VALSERV SDN BHD|MYR|MYR|I|  67098|  67098|12416.31000000|12416.31000000|30-03-16|1|21-01-16|*CREDIT HOLD*|||500000.00000000|60|60 Days||||||03-5513 8788*
AR-C102|CTSM TRADING SDN BHD|MYR|MYR|I|1003697|1003697|124215.50000000|124215.50000000|30-12-20|1|02-10-20||||500000.00000000|60|60 Days||||Eeyan||03-8063 5191
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1003776|1003776|1243.21000000|1243.21000000|30-11-20|1|05-10-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1003921|1003921|1243.21000000|1243.21000000|30-11-20|1|12-10-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1004044|1004044|1243.21000000|1243.21000000|30-11-20|1|19-10-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1004217|1004217|1243.21000000|1243.21000000|30-11-20|1|26-10-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1004295|1004295|1243.21000000|1243.21000000|31-12-20|1|02-11-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1004439|1004439|1243.21000000|1243.21000000|31-12-20|1|07-11-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1004697|1004697|1243.21000000|1243.21000000|31-12-20|1|21-11-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-M132|MGB SANY (M) IBS SDN BHD|MYR|MYR|I|1005063|1005063|124425.20000000|124425.20000000|31-03-21|1|15-12-20||||2000000.00000000|60|60 Days||||BILL||06-797 1855
AR-G004|GEOPANCAR S/B|MYR|MYR|I|1005038|1005038|124545.75000000|124545.75000000|28-02-21|1|14-12-20||||10000000.00000000|60|60 Days||||Mei||03-2287 3393
AR-I046|I & L ENGINEERING SDN BHD|MYR|MYR|I|1005541|1005541|12460.00000000|12460.00000000|28-02-21|1|15-01-21||||500000.00000000|0|CASH||||Ken||03-7971 9712
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  86404|  86404|1248.00000000|1248.00000000|30-07-18|1|05-05-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-E020|EK BUILD SDN BHD|MYR|MYR|D|0|DN20093|12501.08000000|12501.08000000|31-08-20|1|31-08-20|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-6274 0027
AR-E020|EK BUILD SDN BHD|MYR|MYR|D|0|DN20121|12501.08000000|12501.08000000|30-09-20|1|30-09-20|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-6274 0027
AR-P100|PC GEOTECHNIC SDN BHD|MYR|MYR|I|1000893|1000893|12503.00000000|12503.00000000|30-05-20|1|02-03-20||||650000.00000000|60|60 Days||||Mei||03-3323 7333
AR-G079|GEOTECHNICAL ALLIANCE SDN BHD|MYR|MYR|I|1003741|1003741|125610.60000000|125610.60000000|30-12-20|1|05-10-20||||1000000.00000000|60|60 Days||||Mei||
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005021|1005021|12578.40000000|12578.40000000|30-04-21|1|12-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-A045|ACRE WORKS SDN BHD|MYR|MYR|I|1005255|1005255|12584.40000000|12584.40000000|28-02-21|1|26-12-20||||1000000.00000000|60|60 Days||||Kok Wai||03-6203 3819*
AR-S011|SEE YONG & SON CONSTRUCTION S/B|MYR|MYR|I|1004978|1004978|12585.00000000|12585.00000000|28-02-21|1|07-12-20||||500000.00000000|0|CASH||||Eeyan||03-7980 6266
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  89098|  89098|12600.00000000|12600.00000000|30-10-18|1|30-08-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  89281|  89281|12600.00000000|12600.00000000|30-11-18|1|05-09-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  89282|  89282|12600.00000000|12600.00000000|30-11-18|1|06-09-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-E009|ECONPILE (M) S/B|MYR|MYR|I|1003995|1003995|12625.00000000|12625.00000000|30-12-20|1|17-10-20||||8000000.00000000|60|60 Days||||Mei||03-9171 9999
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1003575|1003575|1263.87000000|1263.87000000|31-10-20|1|26-09-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1003606|1003606|1263.87000000|1263.87000000|31-10-20|1|28-09-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-A010|ALPACE ENGINEERING S/B|MYR|MYR|I|1003235|1003235|12636.00000000|12636.00000000|30-11-20|1|08-09-20||||2000000.00000000|60|60 Days||||Mei||03-5882 5389
AR-A010|ALPACE ENGINEERING S/B|MYR|MYR|I|1003348|1003348|12636.00000000|12636.00000000|30-11-20|1|12-09-20||||2000000.00000000|60|60 Days||||Mei||03-5882 5389
AR-A010|ALPACE ENGINEERING S/B|MYR|MYR|I|1003611|1003611|12636.00000000|12636.00000000|30-11-20|1|24-09-20||||2000000.00000000|60|60 Days||||Mei||03-5882 5389
AR-N004|NATIONWIDE TIARA (M) SDN BHD|MYR|MYR|I|1005366|1005366|1265.00000000|1265.00000000|31-03-21|1|05-01-21||||500000.00000000|60|60 Days||||Ken||03-4297 2966*
AR-M093|MCC OVERSEAS (M) SDN BHD|MYR|MYR|I|  96808|  96808|12653.86000000|12653.86000000|30-12-19|1|21-10-19|*CREDIT HOLD*|||800000.00000000|60|60 Days||||Mei||03-4065 0111
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005207|1005207|126823.50000000|126823.50000000|28-02-21|1|22-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-M093|MCC OVERSEAS (M) SDN BHD|MYR|MYR|I|  96712|  96712|82343.66000000|126829.80000000|30-12-19|1|19-10-19|*CREDIT HOLD*|||800000.00000000|60|60 Days||||Mei||03-4065 0111
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005458|1005458|12688.00000000|12688.00000000|31-05-21|1|09-01-21||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-A077|ACCESS BENEFIT SDN BHD|MYR|MYR|I|1004964|1004964|1269.59000000|1269.59000000|31-05-21|1|04-12-20||||5000000.00000000|60|60 Days||||Kok Wai||03-7497 9011
AR-A077|ACCESS BENEFIT SDN BHD|MYR|MYR|I|1005143|1005143|1269.59000000|1269.59000000|31-05-21|1|15-12-20||||5000000.00000000|60|60 Days||||Kok Wai||03-7497 9011
AR-A077|ACCESS BENEFIT SDN BHD|MYR|MYR|I|1005571|1005571|1269.59000000|1269.59000000|30-06-21|1|14-01-21||||5000000.00000000|60|60 Days||||Kok Wai||03-7497 9011
AR-A052|SS BASE CONTRACTORS SDN BHD|MYR|MYR|P|0|Open|127.10000000|127.10000000|07-12-17|1|07-12-17|*CREDIT HOLD*|||500000.00000000|0|CASH||||||03-7782 1050
AR-G003|GEOHAN S/B|MYR|MYR|I|1005247|1005247|1271.20000000|1271.20000000|28-02-21|1|24-12-20||||5000000.00000000|60|60 Days||||Kok Wai||03-7727 3608
AR-G004|GEOPANCAR S/B|MYR|MYR|I|1005582|1005582|1272.30000000|1272.30000000|31-03-21|1|18-01-21||||10000000.00000000|60|60 Days||||Mei||03-2287 3393
AR-C002|CONSEAL S/B|MYR|MYR|I|1005202|1005202|12720.00000000|12720.00000000|31-01-21|1|21-12-20||||300000.00000000|30|30 Days||||Ken||03-7880 6028
AR-N003|NIAGA SARI SDN BHD|MYR|MYR|I|1005529|1005529|127224.94000000|127224.94000000|31-03-21|1|14-01-21||||3000000.00000000|60|60 Days||||BILL||03-4270 1528
AR-L018|LEBROTHERS CONSTRUCTION S/B|MYR|MYR|I|1003506|1003506|127366.72000000|127366.72000000|30-11-20|1|24-09-20||||8000000.00000000|60|60 Days||||Eeyan||03-8926 6098
AR-A115|AIMA CONSTRUCTION SDN BHD|MYR|MYR|I|1005211|1005211|12739.09000000|12739.09000000|31-03-21|1|11-12-20||||1000000.00000000|30|30 Days||||Kok Wai||03-8068 4331
AR-N033|NESTCON BUILDERS SDN BHD|MYR|MYR|I|1003408|1003408|127427.36000000|127427.36000000|30-11-20|1|18-09-20||||3000000.00000000|60|60 Days||||Kok Wai||03-8080 7792
AR-H057|HUASHI (MALAYSIA) SDN BHD|MYR|MYR|I|  97624|  97624|127482.85000000|127482.85000000|31-03-20|1|13-12-19|*CREDIT HOLD*|||8000000.00000000|90|90 Days||||Mei||03-9174 5568
AR-S063|S.P. MEGA SDN BHD|MYR|MYR|I|1004195|1004195|1275.00000000|1275.00000000|29-01-21|1|28-10-20||||1500000.00000000|90|90 Days||||Kok Wai||04-356 2336
AR-A010|ALPACE ENGINEERING S/B|MYR|MYR|I|1004583|1004583|1276.80000000|1276.80000000|31-01-21|1|18-11-20||||2000000.00000000|60|60 Days||||Mei||03-5882 5389
AR-N004|NATIONWIDE TIARA (M) SDN BHD|MYR|MYR|I|1002593|1002593|12762.00000000|12762.00000000|30-10-20|1|08-08-20||||500000.00000000|60|60 Days||||Ken||03-4297 2966*
AR-A082|ADVANCE GEOTECHNICS SDN BHD|MYR|MYR|D|1000553|DN20029|0.00000000|1277.46000000|30-04-20|1|30-04-20||||300000.00000000|60|60 Days||||||03-5569 3861
AR-A082|ADVANCE GEOTECHNICS SDN BHD|MYR|MYR|D|1000553|DN20039|0.00000000|1277.46000000|31-05-20|1|31-05-20||||300000.00000000|60|60 Days||||||03-5569 3861
AR-V009|VST CEMERLANG SDN BHD|MYR|MYR|I|1004995|1004995|127702.08000000|127702.08000000|28-02-21|1|08-12-20||||1000000.00000000|60|60 Days||||Kok Wai||04-226 4087
AR-S063|S.P. MEGA SDN BHD|MYR|MYR|I|1005460|1005460|12780.00000000|12780.00000000|30-04-21|1|09-01-21||||1500000.00000000|90|90 Days||||Kok Wai||04-356 2336
AR-G004|GEOPANCAR S/B|MYR|MYR|I|1005510|1005510|128101.05000000|128101.05000000|31-03-21|1|13-01-21||||10000000.00000000|60|60 Days||||Mei||03-2287 3393
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005613|1005613|12826.00000000|12826.00000000|31-03-21|1|19-01-21||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005614|1005614|12826.00000000|12826.00000000|31-03-21|1|19-01-21||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004872|1004872|12826.61000000|12826.61000000|30-04-21|1|01-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004924|1004924|12826.61000000|12826.61000000|30-04-21|1|03-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005032|1005032|12826.61000000|12826.61000000|30-04-21|1|10-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005147|1005147|12826.61000000|12826.61000000|30-04-21|1|17-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005240|1005240|12826.61000000|12826.61000000|30-04-21|1|23-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005325|1005325|12826.61000000|12826.61000000|30-04-21|1|31-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-C114|CHINA 1ST METALLURGICAL CONSTRUCTION (M) SDN BHD|MYR|MYR|I|  97853|  97853|128339.46000000|128339.46000000|01-03-20|1|30-12-19|*CREDIT HOLD*|||0.00000000|30|30 Days||||Mei||03-80113148
AR-M093|MCC OVERSEAS (M) SDN BHD|MYR|MYR|D|0|DN20094|12870.06000000|12870.06000000|31-08-20|1|31-08-20|*CREDIT HOLD*|||800000.00000000|60|60 Days||||Mei||03-4065 0111
AR-C002|CONSEAL S/B|MYR|MYR|I|1005110|1005110|12873.60000000|12873.60000000|31-01-21|1|17-12-20||||300000.00000000|30|30 Days||||Ken||03-7880 6028
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  87523|  87523|128811.20000000|128811.20000000|30-08-18|1|25-06-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005122|1005122|128849.47000000|128849.47000000|28-02-21|1|17-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-T073|T. J. CIVIL & STRUCTURAL CONTRACTOR SDN BHD|MYR|MYR|I|1000523|1000523|12888.00000000|12888.00000000|30-04-20|1|05-02-20|*CREDIT HOLD*|||200000.00000000|60|60 Days||||||03-7845 8958
AR-U010|UMECH CONSTRUCTION SDN BHD|MYR|MYR|I|1004794|1004794|128919.70000000|128919.70000000|31-01-21|1|26-11-20||||500000.00000000|60|60 Days||||BILL||03-8061 7090
AR-G004|GEOPANCAR S/B|MYR|MYR|I|1005117|1005117|128943.50000000|128943.50000000|28-02-21|1|17-12-20||||10000000.00000000|60|60 Days||||Mei||03-2287 3393
AR-P120|PANADUNIA SDN BHD|MYR|MYR|I|1000159|1000159|1290.25000000|1290.25000000|30-03-20|1|13-01-20||||2000000.00000000|60|60 Days||||Ken||03-8961 3111
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1004842|1004842|12909.15000000|12909.15000000|31-12-20|1|27-11-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004271|1004271|12937.70000000|12937.70000000|31-01-21|1|02-11-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-N044|NESTCON INFRA SDN BHD|MYR|MYR|I|1005381|1005381|129539.87000000|129539.87000000|31-03-21|1|05-01-21||||1000000.00000000|60|60 Days||||Eeyan||03-8080 7792
AR-L018|LEBROTHERS CONSTRUCTION S/B|MYR|MYR|I|1003507|1003507|129587.53000000|129587.53000000|30-11-20|1|24-09-20||||8000000.00000000|60|60 Days||||Eeyan||03-8926 6098
AR-A010|ALPACE ENGINEERING S/B|MYR|MYR|I|1004064|1004064|12960.00000000|12960.00000000|30-12-20|1|21-10-20||||2000000.00000000|60|60 Days||||Mei||03-5882 5389
AR-P013|PERWIRA BINTANG HOLDINGS S/B|MYR|MYR|I|1005372|1005372|12970.00000000|12970.00000000|31-03-21|1|05-01-21||||1000000.00000000|0|CASH||||Kok Wai||03-5630 1691
AR-E020|EK BUILD SDN BHD|MYR|MYR|I|DN19081|DN19081|12974.74000000|12974.74000000|30-11-19|1|30-11-19|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-6274 0027
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  87919|  87919|129850.00000000|129850.00000000|30-09-18|1|11-07-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  87990|  87990|129850.00000000|129850.00000000|30-09-18|1|13-07-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  87992|  87992|129850.00000000|129850.00000000|30-09-18|1|13-07-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  88230|  88230|129850.00000000|129850.00000000|30-09-18|1|23-07-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  88358|  88358|129850.00000000|129850.00000000|30-09-18|1|27-07-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-G025|G-PILE SISTEM SDN BHD|MYR|MYR|I|1005509|1005509|129876.75000000|129876.75000000|31-03-21|1|13-01-21||||500000.00000000|60|60 Days||||Eeyan||03-7710 6477
AR-C115|CB INFRA SDN BHD|MYR|MYR|I|1005391|1005391|1300.00000000|1300.00000000|31-03-21|1|06-01-21||||0.00000000|60|60 Days||||BILL||03-51226977
AR-Z014|ZCON PRECAST INDUSTRIES SDN BHD|MYR|MYR|I|DN19042|DN19042|1300.79000000|1300.79000000|30-06-19|1|30-06-19|*CREDIT HOLD*|||0.00000000|30|30 Days||||||03-7972 6598
AR-Z014|ZCON PRECAST INDUSTRIES SDN BHD|MYR|MYR|I|DN19051|DN19051|1300.79000000|1300.79000000|31-07-19|1|31-07-19|*CREDIT HOLD*|||0.00000000|30|30 Days||||||03-7972 6598
AR-Z014|ZCON PRECAST INDUSTRIES SDN BHD|MYR|MYR|I|DN19060|DN19060|1300.79000000|1300.79000000|31-08-19|1|31-08-19|*CREDIT HOLD*|||0.00000000|30|30 Days||||||03-7972 6598
AR-E009|ECONPILE (M) S/B|MYR|MYR|I|1005642|1005642|13000.00000000|13000.00000000|31-03-21|1|15-01-21||||8000000.00000000|60|60 Days||||Mei||03-9171 9999
AR-C018|CASTMET SDN BHD|MYR|MYR|I|  75720|  75720|13015.27000000|13015.27000000|11-02-17|1|11-02-17|*CREDIT HOLD*|||5000000.00000000|30|30 Days||||||03-7733 3163
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005330|1005330|130271.00000000|130271.00000000|31-03-21|1|02-01-21||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-B036|BRUNSFIELD TRADING SDN BERHAD|MYR|MYR|I|1002626|1002626|130312.00000000|130312.00000000|29-11-20|1|10-08-20||||5000000.00000000|90|90 Days||||Mei||03-7726 9898
AR-L018|LEBROTHERS CONSTRUCTION S/B|MYR|MYR|I|1004543|1004543|130337.13000000|130337.13000000|31-01-21|1|13-11-20||||8000000.00000000|60|60 Days||||Eeyan||03-8926 6098
AR-N034|NADA ALAM MURNI SDN BHD|MYR|MYR|I|DN15011|DN15011|8877.33000000|13035.74000000|17-10-15|1|17-10-15|*CREDIT HOLD*|||200000.00000000|30|30 Days||||||03-9226 6994
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  88067|  88067|130380.00000000|130380.00000000|30-09-18|1|17-07-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  88177|  88177|130380.00000000|130380.00000000|30-09-18|1|20-07-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  88716|  88716|130380.00000000|130380.00000000|30-10-18|1|10-08-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
